mode,date,tap,time,count
bus,20160726,off,07:00,9582
bus,20160726,off,14:15,10527
bus,20160726,off,08:45,30768
bus,20160726,off,23:45,859
bus,20160726,off,-1,57515
bus,20160726,off,13:15,10354
bus,20160726,off,11:45,9076
bus,20160726,off,22:45,1571
bus,20160726,off,05:00,727
bus,20160726,off,16:15,17586
bus,20160726,off,01:15,219
bus,20160726,off,14:00,9868
bus,20160726,off,21:15,3229
bus,20160726,off,07:30,19162
bus,20160726,off,06:30,6441
bus,20160726,off,01:00,172
bus,20160726,off,15:00,15489
bus,20160726,off,16:00,20110
bus,20160726,off,23:15,1032
bus,20160726,off,12:15,9582
bus,20160726,off,21:00,3445
bus,20160726,off,04:30,186
bus,20160726,off,05:30,1901
bus,20160726,off,03:15,160
bus,20160726,off,14:30,11350
bus,20160726,off,18:15,19696
bus,20160726,off,06:45,8600
bus,20160726,off,19:00,11665
bus,20160726,off,12:00,8705
bus,20160726,off,09:45,11927
bus,20160726,off,23:00,1267
bus,20160726,off,00:45,234
bus,20160726,off,04:00,144
bus,20160726,off,17:30,18729
bus,20160726,off,10:15,9153
bus,20160726,off,08:30,36142
bus,20160726,off,03:00,114
bus,20160726,off,21:30,2811
bus,20160726,off,15:45,22215
bus,20160726,off,18:00,20277
bus,20160726,off,20:30,3750
bus,20160726,off,19:15,8992
bus,20160726,off,08:00,30951
bus,20160726,off,02:00,124
bus,20160726,off,13:45,10094
bus,20160726,off,17:00,16175
bus,20160726,off,09:30,12939
bus,20160726,off,22:30,1671
bus,20160726,off,04:15,140
bus,20160726,off,03:30,94
bus,20160726,off,10:00,9674
bus,20160726,off,18:30,18047
bus,20160726,off,20:45,3412
bus,20160726,off,07:45,25384
bus,20160726,off,06:00,3510
bus,20160726,off,05:45,2750
bus,20160726,off,08:15,35703
bus,20160726,off,11:00,8372
bus,20160726,off,02:15,169
bus,20160726,off,22:00,2239
bus,20160726,off,17:15,16956
bus,20160726,off,10:30,9183
bus,20160726,off,15:30,22527
bus,20160726,off,14:45,13390
bus,20160726,off,00:30,368
bus,20160726,off,19:30,7144
bus,20160726,off,06:15,4820
bus,20160726,off,01:45,133
bus,20160726,off,16:45,16170
bus,20160726,off,11:15,8711
bus,20160726,off,09:15,15770
bus,20160726,off,22:15,2133
bus,20160726,off,21:45,2368
bus,20160731,on,02:30,162
bus,20160731,on,13:30,7470
bus,20160731,on,15:15,7876
bus,20160731,on,12:45,7102
bus,20160731,on,00:00,286
bus,20160731,on,16:30,7659
bus,20160731,on,04:45,140
bus,20160731,on,03:45,123
bus,20160731,on,19:45,2380
bus,20160731,on,01:30,170
bus,20160731,on,07:15,1228
bus,20160731,on,09:00,5038
bus,20160731,on,18:45,4063
bus,20160731,on,11:30,7468
